6101, drifter, 4, 78701.055877, 93818.862747, 6.763767, -0.018633, -0.026886, -0.004995, 0.041848, 102.558267
6101, drifter, 5, 78858.871730, 94619.009674, 4.065777, -0.001944, -0.027785, 0.002314, 0.041865, 105.000000
6711, drifter, 0, 78333.581824, 93948.055452, 4.622106, -0.003304, -0.028771, -0.006024, 0.041863, 102.510362
6711, drifter, 1, 78334.386932, 94520.541248, 1.000000, 0.014999, -0.025083, 0.000000, 0.041880, 104.097596
6711, drifter, 2, 78717.247096, 94173.942551, 2.976673, 0.006341, -0.027147, 0.002919, 0.041867, 104.479311
6711, drifter, 3, 78330.716034, 94228.260250, 25.036419, -0.035316, -0.005755, 0.093525, 0.041741, 103.881694
6711, drifter, 4, 78693.672406, 93801.779099, 2.301637, 0.004806, -0.027686, -0.022925, 0.041870, 102.465846
6711, drifter, 5, 78859.745825, 94604.187993, 22.752981, -0.035317, -0.008343, 0.099791, 0.041740, 105.000000
7321, drifter, 0, 78340.490304, 93931.878614, 1.840772, 0.015667, -0.025966, 0.103308, 0.041793, 102.445768
7321, drifter, 1, 78320.841487, 94516.582085, 47.544516, -0.021808, 0.004288, 0.028235, 0.041739, 104.061541
7321, drifter, 2, 78715.014776, 94161.138429, 31.578469, -0.032524, 0.000106, 0.079229, 0.041739, 104.409891
7321, drifter, 3, 78315.176265, 94229.938223, 48.368960, -0.020277, 0.004457, -0.006484, 0.041741, 103.849282
7321, drifter, 4, 78695.729574, 93787.129377, 24.868723, -0.035517, -0.005849, 0.097321, 0.041737, 102.386470
7321, drifter, 5, 78843.981779, 94605.838515, 48.621735, -0.020098, 0.004889, -0.006554, 0.041740, 105.000000
7931, drifter, 0, 78324.710818, 93929.048977, 47.535943, -0.022257, 0.003701, 0.017469, 0.041741, 102.397409
7931, drifter, 1, 78308.967231, 94519.422454, 49.307525, -0.018893, 0.004751, -0.001905, 0.041739, 104.029840
7931, drifter, 2, 78700.562117, 94163.628381, 48.979784, -0.019926, 0.004995, -0.001375, 0.041739, 104.423336
7931, drifter, 3, 78302.955283, 94232.685690, 48.387046, -0.019864, 0.004541, -0.001854, 0.041741, 103.830771
7931, drifter, 4, 78680.079280, 93789.225576, 49.925731, -0.020028, 0.005375, -0.018665, 0.041739, 102.397750
7931, drifter, 5, 78831.891858, 94608.853269, 48.514914, -0.019646, 0.004979, -0.001123, 0.041740, 105.000000
8541, drifter, 0, 78311.989357, 93931.444162, 47.865060, -0.020509, 0.003989, 0.001281, 0.041741, 102.381428
8541, drifter, 1, 78297.505024, 94522.335586, 49.382783, -0.018700, 0.004799, -0.001407, 0.041739, 103.999246
8541, drifter, 2, 78688.540839, 94166.701702, 49.153589, -0.019561, 0.005070, -0.001377, 0.041739, 104.439962
8541, drifter, 3, 78290.884194, 94235.469233, 48.377013, -0.019715, 0.004587, -0.000677, 0.041741, 103.812732
8541, drifter, 4, 78667.798881, 93792.011421, 49.004791, -0.020162, 0.004316, 0.000414, 0.041739, 102.403627
8541, drifter, 5, 78819.955204, 94611.904348, 48.476336, -0.019499, 0.005024, -0.000074, 0.041740, 105.000000
9151, drifter, 0, 78297.602486, 93933.614810, 33.548566, -0.027613, 0.002938, 0.006859, 0.041765, 102.360656
9151, drifter, 1, 78290.630589, 94526.266522, 73.119642, -0.001775, 0.008774, 0.001070, 0.041697, 103.980852
9151, drifter, 2, 78677.491927, 94169.926499, 53.614152, -0.016860, 0.005419, 0.004153, 0.041732, 104.457407
